paper,variable,type,model,method,parameter,reason,decision
schwartz,humidity,parameter,generalized additive model,smoothing spline,smoothing parameter,we expected the dose-response relationship between those variables and mortality to be much smoother,50% of the data
schwartz,temperature,parameter,generalized additive model,smoothing spline,smoothing parameter,we expected the dose-response relationship between those variables and mortality to be much smoother,50% of the data
schwartz,time,parameter,generalized additive model,smoothing spline,smoothing parameter,to ensure removal of all long wavelength patterns from the data,5% of the data in each neighborhood
schwartz2002concentration,PM,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,"50% of the data , 4 to 5 "
schwartz2002concentration,concentration_response_relation,parameter,generalized additive model,NA,NA,NA,4 to 5 
schwartz2002concentration,humidity,parameter,generalized additive model,LOESS,smoothing window,NA,0.80
schwartz2002concentration,temperature,parameter,generalized additive model,LOESS,smoothing window,NA,0.80
schwartz2002concentration,time,parameter,generalized additive model,LOESS,smoothing window,NA,0.05
sheppard1999effects,temperature,parameter,semiparametric Poisson regression models,smoothing spline,smoothing parameter,"conceptual simplicity, small Akaike Information Criteria (AIC), and little evidence of over- or underfitting in the residual autocorrelation function",4 
sheppard1999effects,time,parameter,semiparametric Poisson regression models,smoothing spline,smoothing parameter,"conceptual simplicity, small Akaike Information Criteria (AIC), and little evidence of over- or underfitting in the residual autocorrelation function",64 
sheppard1999effects,time,temporal,semiparametric Poisson regression models,NA,NA,NA,approximately a 46-day moving average filter
silverman2010age,PM,temporal,Poisson Generalized Linear Model,NA,NA,NA,"0-day and 1-day lagged , individual lag days 0 through 3"
silverman2010age,estimates_over_age_groups,parameter,Poisson Generalized Linear Model,smoothed curve,degrees of freedom,NA,7 
silverman2010age,study_days,parameter,Poisson Generalized Linear Model,natural spline,knots,based on minimization of autocorrelation in the residuals,"3  per season per year , 2, 4, and 5  per season per year"
silverman2010age,temperature,parameter,Poisson Generalized Linear Model,natural spline,knots,NA,3 
silverman2010age,temperature,temporal,Poisson Generalized Linear Model,NA,NA,NA,same-day and the average of past 2-day and 3-day
simpson2005short,PM,parameter,generalized additive model,NA,NA,NA,linear terms
simpson2005short,PM,temporal,generalized additive model,NA,NA,NA,average of lags 0 and 1
simpson2005short,serial_correlation,parameter,generalized additive model,autoregressive,NA,to remove remaining serial correlation,autoregressive terms
simpson2005short,smoothing,parameter,generalized additive model,penalised spline algorithm,NA,avoids the back-fitting problems associated with non-parametric smoothers as well as some of objectivity in using natural spline smoothers,thin plate regression splines
simpson2005short,time,parameter,generalized additive model,LOESS,smoothing window,NA,single non-parametric smoother
simpson2005short,variables,parameter,generalized additive model,natural spline,knots,for comparative purposes,"same number of  as the GAM S+ model , same number of  as in the GAM and GLM models"
simpson2005short,weather_variables,parameter,generalized additive model,natural spline,knots,to avoid bias in the back-fitting algorithm,natural spline smoothers
slaughter2005association,PM,temporal,log-linear generalized linear model,NA,NA,NA,0-3 days
slaughter2005association,temperature,parameter,log-linear generalized linear model,NA,NA,NA,2 
slaughter2005association,time,parameter,log-linear generalized linear model,natural spline,knots,To control for the potentially confounding effects of longer-term trends including seasonality,"8  per year , 6  per year"
stolzel2008daily,MC0.01-2.5,parameter,Poisson regression models,smoothing spline,smoothing parameter,to account for temporal variations in the relationship between the different measurement devices,NA
stolzel2008daily,NC0.01-0.1,parameter,Poisson regression models,smoothing spline,smoothing parameter,to account for temporal variations in the relationship between the different measurement devices,NA
stolzel2008daily,PM,parameter,Poisson regression models,smoothing spline,smoothing parameter,to account for temporal variations in the relationship between the different measurement devices,NA
stolzel2008daily,PM,temporal,Poisson regression models,NA,NA,NA,lags of up to 5 days
stolzel2008daily,RH,temporal,Poisson regression models,NA,NA,NA,lag 2 days
stolzel2008daily,influenza_epidemics,parameter,Poisson regression models,smoothing spline,smoothing parameter,NA,approximately 3 
stolzel2008daily,temperature,temporal,Poisson regression models,NA,NA,NA,"lag 0 , lag 1"
stolzel2008daily,time,parameter,Poisson regression models,smoothing spline,smoothing parameter,to minimize the autocorrelation of the residuals,"8  , 7 "
ueda2009effects,PM,temporal,generalized linear model,NA,NA,NA,"same day (lag 0) , 1-2 days (lag 1 and lag 2) prior to death , 2-day moving average (average of same day and 1 day prior to death) (lag m01) , 3-day moving average (average of same day, 1 day and 2 days prior to death) (lag m02)"
ueda2009effects,day_of_the_week,temporal,generalized linear model,NA,NA,NA,indicator variables
ueda2009effects,humidity,parameter,generalized linear model,natural spline,knots,based on previous literature,3 
ueda2009effects,seasonality,temporal,generalized linear model,NA,NA,to control for seasonality,indicator variables for every 2 months of the calendar year
ueda2009effects,temperature,parameter,generalized linear model,natural spline,knots,based on previous literature,6 
ueda2009estimating,humidity,parameter,generalized additive model,smoothing spline,smoothing parameter,because nonlinear effects of meteorological covariates were assumed,3 
ueda2009estimating,temperature,parameter,generalized additive model,smoothing spline,smoothing parameter,because nonlinear effects of meteorological covariates were assumed,6 
ueda2009estimating,temperature,temporal,generalized additive model,NA,NA,NA,lag 1-3 days was not adjusted
ueda2009estimating,time,parameter,generalized additive model,smoothing spline,smoothing parameter,to eliminate the effects of long-term trends and seasonality,"7  per year , 7 "
venners2003particulate,PM,temporal,robust Poisson regression,NA,NA,NA,up to 5 days
venners2003particulate,SO2,temporal,robust Poisson regression,NA,NA,NA,up to 5 days
venners2003particulate,humidity,spatial,robust Poisson regression,NA,NA,NA,up to 3 days previous
venners2003particulate,temperature,spatial,robust Poisson regression,NA,NA,NA,up to 3 days previous
venners2003particulate,time,spatial,robust Poisson regression,NA,NA,to model long-term and seasonal trends,NA
zanobetti,time,parameter,generalized additive regression model,smoothing spline,smoothing parameter,to remove seasonal and long-term fluctuations,minimized the sum of the autocorrelation of the residuals while removing seasonal patterns
zanobetti,weather,parameter,generalized additive regression model,LOESS,smoothing window,NA,non-parametric smooth functions
zanobetti,weather,temporal,generalized additive regression model,NA,NA,NA,previous day or up to 3 previous days or the average of a few days
zanobetti2009effect,temperature,parameter,Poisson regression models,natural spline,knots,NA,3 
zanobetti2009effect,time,parameter,Poisson regression models,natural spline,knots,NA,1.5  for each season for each year
zanobetti2009fine,PM,temporal,Poisson regression,NA,NA,NA,averaged over the day before and the day of admission
zanobetti2009fine,humidity,parameter,Poisson regression,natural spline,knots,NA,3 
zanobetti2009fine,temperature,parameter,Poisson regression,natural spline,knots,NA,3 
zanobetti2009fine,time,parameter,Poisson regression,natural spline,knots,NA,1.5  for each season and year (corresponding to 6 df per year)
