paper,variable,type,model,method,parameter,reason,decision
lopez2010air,humidity,temporal,Poisson regression models,NA,NA,to control for the potentially confounding effects of weather because their relationship with the outcome is expected to be nonlinear,lags 0 to 1 and lags 2 to 4 averages
lopez2010air,influenza,temporal,Poisson regression models,NA,NA,to control for the potentially confounding effects of influenza because their relationship with the outcome is expected to be nonlinear,lags 0 to 6 average
lopez2010air,non-linear_terms,parameter,Poisson regression models,smoothing spline,smoothing parameter,in line with APHEA2 methodology,10
lopez2010air,remaining_smoothers,parameter,Poisson regression models,smoothing spline,smoothing parameter,NA,chosen automatically by means of generalized cross-validation
lopez2010air,temperature,temporal,Poisson regression models,NA,NA,to control for the potentially confounding effects of weather because their relationship with the outcome is expected to be nonlinear,lags 0 to 1 and lags 2 to 4 averages
lopez2010air,time,parameter,Poisson regression models,smooth function,degrees of freedom,"to remove potential confounding effects of long term trends and seasonality , in line with APHEA2 methodology","9  for total mortality, 8 df for heart disease mortality, 12 df for respiratory disease mortality in Las Palmas de Gran Canaria; 5 df for all three mortality outcomes in Santa Cruz de Tenerife , 10 per year (i.e. 50 total) , chosen by minimizing the absolute value of the sum of partial autocorrelation (PAC) of the residuals; however, a minimum of 1 degree of freedom per year was required"
mar2000associations,PM,temporal,Poisson regression,NA,NA,NA,lag days ranging from 0 to 4
mar2000associations,humidity,parameter,Poisson regression,smoothing spline,smoothing parameter,to minimize the AIC,"2  , 2  for cardiovascular mortality"
mar2000associations,humidity,temporal,Poisson regression,NA,NA,to minimize the AIC,"0 days lag , 0 days lag for cardiovascular mortality"
mar2000associations,temperature,parameter,Poisson regression,smoothing spline,smoothing parameter,to minimize the AIC,"2  , 2  for cardiovascular mortality"
mar2000associations,temperature,temporal,Poisson regression,NA,NA,to minimize the AIC,"2 days lag , 1 day lag for cardiovascular mortality"
mar2000associations,time,parameter,Poisson regression,smoothing spline,smoothing parameter,minimizing autocorrelation as well as the Akaike information criterion (AIC),10 
mate2010short,all_variables,parameter,ARIMA,NA,NA,to assess multivariate relationships,Poisson regression with backward stepwise variable selection
mate2010short,time,parameter,ARIMA,Box-Jenkins,NA,to prewhiten the time series,based on visual inspection of ACF and PACF and minimisation of AIC
moolgavkar2000air,PM,temporal,generalized additive model,NA,NA,to explore association with admissions,lags of between 0 and 5 days
moolgavkar2000air,humidity,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,6 
moolgavkar2000air,humidity,temporal,generalized additive model,NA,NA,minimized the deviance,"lag 0 to 5 days, optimal lag selected"
moolgavkar2000air,temperature,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,6 
moolgavkar2000air,temperature,temporal,generalized additive model,NA,NA,minimized the deviance,"lag 0 to 5 days, optimal lag selected"
moolgavkar2000air,time,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,30 
moolgavkar2000air-2,PM,temporal,generalized additive model,NA,NA,NA,lags of between 0 and 5 days
moolgavkar2000air-2,humidity,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,6 
moolgavkar2000air-2,humidity,temporal,generalized additive model,NA,NA,minimized the deviance,optimal lag between 0 to 5 days
moolgavkar2000air-2,temperature,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,6 
moolgavkar2000air-2,temperature,temporal,generalized additive model,NA,NA,minimized the deviance,optimal lag between 0 to 5 days
moolgavkar2000air-2,time,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,30 
moolgavkar2003air,PM,parameter,generalized additive model,smoothing spline,smoothing parameter,to explore exposure-response relationships,6 
moolgavkar2003air,PM,temporal,generalized additive model,NA,NA,NA,lags between 0 and 5 days
moolgavkar2003air,humidity,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,6 
moolgavkar2003air,humidity,temporal,generalized additive model,NA,NA,to minimize the deviance,"lags from 0 to 5 days, optimal lag kept fixed"
moolgavkar2003air,temperature,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,6 
moolgavkar2003air,temperature,temporal,generalized additive model,NA,NA,to minimize the deviance,"lags from 0 to 5 days, optimal lag kept fixed"
moolgavkar2003air,time,parameter,generalized additive model,smoothing spline,smoothing parameter,correspond roughly to 1 degree of freedom for each month,100  for full-year analyses and 30 df for each seasonal analysis
neuberger2007extended,humidity,temporal,generalized additive model,NA,NA,NA,"days 0, 1 and 2"
neuberger2007extended,pressure,temporal,generalized additive model,NA,NA,NA,"days 0, 1 and 2"
neuberger2007extended,seasonal_and_meteorological_factors,parameter,generalized additive model,spline functions,NA,minimizing sum of partial autocorrelation function,NA
neuberger2007extended,temperature,temporal,generalized additive model,NA,NA,NA,"days 0, 1 and 2"
neuberger2007extended,time,parameter,generalized additive model,spline functions,degrees of freedom,based on the minimum sum of 30 lags of partial autocorrelation function,3 to 8  per year
neuberger2007extended,weather_indicators,parameter,generalized additive model,smoothing spline,smoothing parameter,based on the Akaike information criterion,NA
ostro,PM,temporal,Poisson regression,NA,NA,Previous studies have reported stronger associations of mortality with PM lagged 1 or 2 days or with cumulative exposures over several days,"2-day average of lag 0 and 1 (lag 01) , single-day lag of 2 days (lag 2)"
ostro,humidity,parameter,Poisson regression,smoothing spline,smoothing parameter,may be associated with daily mortality and are likely to vary over time in concert with air pollution levels,3 
ostro,humidity,temporal,Poisson regression,NA,NA,NA,1-day lag
ostro,temperature,parameter,Poisson regression,smoothing spline,smoothing parameter,may be associated with daily mortality and are likely to vary over time in concert with air pollution levels,3 
ostro,temperature,temporal,Poisson regression,NA,NA,NA,1-day lag
ostro,time,parameter,Poisson regression,smoothing spline,smoothing parameter,"Based on previous findings reported in the literature , to account for mortality spike in southern and central California","7  per year of data , 3 knots for 3-week period starting 17 December 1999"
ostro2001effects,PM,temporal,Poisson regression,NA,NA,NA,single-day lags of 0-3 days
ostro2001effects,humidity,parameter,Poisson regression,natural spline,knots,effectiveness in controlling for weather variables and promoting best model fits,3 
ostro2001effects,humidity,temporal,Poisson regression,NA,NA,NA,unlagged
ostro2001effects,temperature,parameter,Poisson regression,natural spline,knots,effectiveness in controlling for weather variables and promoting best model fits,3 
ostro2001effects,temperature,temporal,Poisson regression,NA,NA,NA,unlagged
ostro2001effects,time,parameter,Poisson regression,natural spline,knots,to control for the effects of seasonality and other factors that are time dependent,4  per calendar year
ostro2006effects,PM,temporal,Poisson regression,NA,NA,NA,single-day lags of 0-3 days
ostro2006effects,humidity,parameter,Poisson regression,smoothing spline,smoothing parameter,NA,3 
ostro2006effects,humidity,temporal,Poisson regression,NA,NA,NA,1-day lag
ostro2006effects,temperature,parameter,Poisson regression,smoothing spline,smoothing parameter,NA,3 
ostro2006effects,temperature,temporal,Poisson regression,NA,NA,NA,1-day lag
ostro2006effects,time,parameter,Poisson regression,natural spline,knots,this number has been found to control well for seasonal and secular patterns,4  per year of data
peel,PM,temporal,Poisson generalized estimating equations,NA,NA,NA,"3-day moving average of pollution levels lagged 0, 1, and 2 days"
peel,humidity,parameter,Poisson generalized estimating equations,natural spline,knots,to control for meteorological conditions,knots at the 25th and 75th percentiles
peel,temperature,parameter,Poisson generalized estimating equations,natural spline,knots,to control for meteorological conditions,knots at the 25th and 75th percentiles
peel,time,parameter,Poisson generalized estimating equations,natural spline,knots,to account for long-term temporal trends,"monthly knots , 10^-14 convergence criterion"
peel,NA,parameter,Poisson generalized estimating equations,NA,NA,to account for possible autocorrelation in the outcome data,stationary 4-dependent correlation structure
peng2008coarse,PM,temporal,overdispersed Poisson models,NA,NA,NA,"lags 0, 1, and 2 days"
peng2008coarse,humidity,parameter,overdispersed Poisson models,natural spline,knots,NA,3 
peng2008coarse,humidity,temporal,overdispersed Poisson models,NA,NA,NA,current day's dew-point temperature and the mean of the previous 3 days' dew-point temperatures
peng2008coarse,temperature,parameter,overdispersed Poisson models,natural spline,knots,to give the model sufficient flexibility to account for potential nonlinearity in the relationship between temperature and health outcomes,6 
peng2008coarse,temperature,temporal,overdispersed Poisson models,NA,NA,NA,current day's temperature and the mean of the previous 3 days' temperatures
peng2008coarse,time,parameter,overdispersed Poisson models,natural spline,knots,so that little information at time scales longer than 2 months would be retained in estimating the risks,"8  per calendar year , 1  per year"
peng2009emergency,PM,spatial,log-linear Poisson regression with overdispersion,NA,NA,to estimate county-specific and national average associations,two-level normal independent sampling estimation
peng2009emergency,PM,temporal,log-linear Poisson regression with overdispersion,NA,NA,previous work with PM2.5 total mass and hospital admissions showed little evidence of a strong association with admissions at a lag of  3 days,"0-, 1-, and 2-day lag concentrations"
peng2009emergency,organic_carbon,parameter,log-linear Poisson regression with overdispersion,NA,NA,to account for non-carbon organic matter,k value of 1.4
peng2009emergency,temperature,parameter,log-linear Poisson regression with overdispersion,natural spline,knots,NA,"6  , 3 "
peng2009emergency,time,parameter,log-linear Poisson regression with overdispersion,natural spline,knots,to control for seasonality and long-term trends,8  per calendar year
perez2008coarse,PM,temporal,conditional logistic regression,NA,NA,to examine effects of exposure,lag 0 to lag 4
perez2008coarse,humidity,temporal,conditional logistic regression,NA,NA,to adjust for weather variables,4-day average (day of exposure and 3 days before exposure)
perez2008coarse,temperature,temporal,conditional logistic regression,NA,NA,to adjust for weather variables,4-day average (day of exposure and 3 days before exposure)
peters2000associations,PM,parameter,generalized additive model,locally weighted least squares,NA,to check for linearity,NA
peters2000associations,humidity,parameter,generalized additive model,natural spline,knots,NA,4 
peters2000associations,seasonal_function,parameter,generalized additive model,natural spline,knots,to fit a semiparametric seasonal function,3  for each study year
peters2000associations,seasonal_variation,parameter,generalized additive model,sine and cosine functions,periods,to assess seasonal variation,periods between 1 year and one-sixth of a year
peters2000associations,temperature,parameter,generalized additive model,quadratic function,NA,NA,"modeled cold and warm temperatures separately , 4 "
peters2000associations,temperature,temporal,generalized additive model,NA,NA,NA,same day and as a 3-day mean of the current day and the previous 2 days
peters2000associations,time,parameter,generalized additive model,cubic function,NA,to assess overall trend,cubic function
schreuder2006ambient,day_of_week,parameter,generalized additive model,NA,NA,NA,indicator variables
schreuder2006ambient,humidity,parameter,generalized additive model,NA,NA,NA,linear term
schreuder2006ambient,source_markers,temporal,generalized additive model,NA,NA,NA,1-day lag
schreuder2006ambient,temperature,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,2 
schreuder2006ambient,time,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,42  (6 df * 7 year)
schwartz,PM,temporal,generalized additive model,NA,NA,based on previous observations,mean of the non-missing particle concentrations on the same and on the previous day
schwartz,humidity,parameter,generalized additive model,LOESS,smoothing window,expected the dose-response relationship between those variables and mortality to be much smoother,50% of the data
schwartz,hydrogen_ion,parameter,generalized additive model,LOESS,smoothing window,to give a neighborhood with about the same number of days as the other analyses,parameter chosen to give a neighborhood with about 100 days
schwartz,mortality,parameter,generalized additive model,LOESS,smoothing window,to ensure removal of all long wavelength patterns from the data,5% of the data in each neighborhood
schwartz,temperature,parameter,generalized additive model,LOESS,smoothing window,expected the dose-response relationship between those variables and mortality to be much smoother,50% of the data
schwartz2002concentration,PM,parameter,generalized additive model,smooth function,smoothing window,NA,"50% of the data, corresponding to between 4 and 5 "
schwartz2002concentration,PM,temporal,generalized additive model,NA,NA,NA,mean of the day of death and the previous day
schwartz2002concentration,humidity,parameter,generalized additive model,LOESS,smoothing window,NA,0.80
schwartz2002concentration,particles_from_other_sources,parameter,generalized additive model,linear terms,NA,exposure ranges for the exposures to coal particles did not overlap sufficiently,NA
schwartz2002concentration,temperature,parameter,generalized additive model,LOESS,smoothing window,NA,0.80
schwartz2002concentration,time,parameter,generalized additive model,LOESS,smoothing window,to control for trend and season,0.05
schwartz2002concentration,traffic_particles,parameter,generalized additive model,smooth function,degrees of freedom,only the particles from traffic showed a strong linear association,NA
sheppard1999effects,PM,temporal,semiparametric Poisson regression models,NA,NA,"on the basis of clinical considerations, we believed the 1- to 3-day lags of pollutants would be most highly associated with asthma , the 3-day lag appeared important","lag selected for each pollutant demonstrating the strongest statistical association with the asthma outcome , same-day effects and longer lags, particularly the 3-day lag"
sheppard1999effects,temperature,parameter,semiparametric Poisson regression models,smoothing spline,smoothing parameter,NA,4 
sheppard1999effects,time,parameter,semiparametric Poisson regression models,smoothing spline,smoothing parameter,"based on the criteria of conceptual simplicity, small Akaike Information Criteria (AIC), and little evidence of over- or underfitting in the residual autocorrelation function",64 
silverman2010age,PM,parameter,Poisson Generalized Linear Model,smooth function,degrees of freedom,to examine whether the concentration-response relationship was in fact linear,3 to 5 
silverman2010age,PM,temporal,Poisson Generalized Linear Model,NA,NA,"a priori exposure window , for sensitivity analysis","average of 0-day and 1-day lagged levels , individual lag days 0 through 3"
silverman2010age,age_categories,parameter,Poisson Generalized Linear Model,smoothed curve,degrees of freedom,NA,7 
silverman2010age,study_days,parameter,Poisson Generalized Linear Model,natural spline,knots,based on minimization of autocorrelation in the residuals,3  per season per year
silverman2010age,temperature,parameter,Poisson Generalized Linear Model,natural spline,knots,NA,3 
simpson2005short,PM,temporal,Poisson regression,NA,NA,NA,"lags 0, 1, 2, 3 and average of days 0-1"
simpson2005short,all_variables,parameter,Poisson regression,natural spline,knots,"eliminates the problem of S+ GAM functions underestimating the variances of the model parameters under certain conditions , avoids the back-fitting problems associated with non-parametric smoothers as well as some of objectivity in using natural spline smoothers","same number of  as the GAM S+ model , same number of  as in the GAM and GLM models"
simpson2005short,bsp_(nephelometer_measurements),parameter,Poisson regression,NA,NA,to ensure a few major events did not bias the results,exclude days with nephelometer readings above the daily average value of 3x10-4m-1
simpson2005short,humidity,temporal,Poisson regression,NA,NA,to control for the confounding effects of meteorological variables,"same-day average relative humidity, lags of up to 3 days, the average of lags 1-3"
simpson2005short,pressure,temporal,Poisson regression,NA,NA,to control for the confounding effects of meteorological variables,same-day average pressure
simpson2005short,temperature,temporal,Poisson regression,NA,NA,to control for the confounding effects of meteorological variables,"same-day average temperature, lags of up to 3 days, the average of lags 1-3"
simpson2005short,time,parameter,Poisson regression,LOESS,smoothing window,to correct for time (both seasonality and long-term trends),single smoother
simpson2005short,weather_variables,parameter,Poisson regression,natural spline,knots,to avoid bias in the back-fitting algorithm,NA
slaughter2005association,CO,temporal,log-linear Poisson model,NA,NA,NA,pollution lags ranging from 0 to 3 days
slaughter2005association,PM,temporal,log-linear Poisson model,NA,NA,NA,pollution lags ranging from 0 to 3 days
slaughter2005association,temperature,parameter,log-linear Poisson model,natural spline,knots,to control for the potentially confounding effects,2 
slaughter2005association,time,parameter,log-linear Poisson model,natural spline,knots,to control for the potentially confounding effects of longer-term trends including seasonality,"8  per year for morbidity models, 6 df per year for mortality models"
stolzel2008daily,PM,temporal,Generalized Additive Models,NA,NA,to investigate cumulative effects,lags of up to 5 days
stolzel2008daily,doctor's_practice_index_(influenza_epidemics),parameter,Generalized Additive Models,smoothing spline,smoothing parameter,to improve model fit in terms of smaller AIC,approximately 3 
stolzel2008daily,humidity,temporal,Generalized Additive Models,NA,NA,to minimize the AIC,lagged 2 days
stolzel2008daily,temperature,temporal,Generalized Additive Models,NA,NA,to minimize the AIC,lags 0 and 1
stolzel2008daily,time,parameter,Generalized Additive Models,smoothing spline,smoothing parameter,to minimize the autocorrelation of the residuals,8  for total mortality and 7 for cardio-respiratory mortality
ueda2009effects,PM,temporal,generalized linear model with Poisson regression,NA,NA,to examine the lagged effect,"same day (lag 0), 1 day prior (lag 1), 2 days prior (lag 2) , 2-day moving average (average of same day and 1 day prior to death) (lag m01) , 3-day moving average (average of same day, 1 day and 2 days prior to death) (lag m02)"
ueda2009effects,area-specific_results,spatial,generalized linear model with Poisson regression,NA,NA,takes into account heterogeneity between areas because the effects of PM2.5 would vary by area,meta-analysis combining area-specific results
ueda2009effects,day_of_the_week,temporal,generalized linear model with Poisson regression,NA,NA,NA,indicator variables
ueda2009effects,humidity,parameter,generalized linear model with Poisson regression,natural spline,knots,based on previous literature,3 
ueda2009effects,seasonality,temporal,generalized linear model with Poisson regression,NA,NA,to control for seasonal variation in cardiac disease mortality,indicator variables for every 2 months of the calendar year
ueda2009effects,temperature,parameter,generalized linear model with Poisson regression,natural spline,knots,based on previous literature,6 
ueda2009estimating,control_days,temporal,case-crossover analysis,NA,NA,"to adjust for effects of long-term trend, seasonality, and day of week by design",same day of the week in the same month of the same year as the case day
ueda2009estimating,humidity,parameter,case-crossover analysis,smoothing spline,smoothing parameter,based on previous reports,3 
ueda2009estimating,temperature,parameter,case-crossover analysis,smoothing spline,smoothing parameter,based on previous reports,6 
ueda2009estimating,time,parameter,case-crossover analysis,smoothing spline,smoothing parameter,"based on previous literature , to adjust for seasonality","7  per year , every 2 months"
venners2003particulate,PM,temporal,robust Poisson regression,NA,NA,to test effects on deaths occurring at different lags,same day and at lags up to 5 days
venners2003particulate,SO2,temporal,robust Poisson regression,NA,NA,to test effects on deaths occurring at different lags,same day and at lags up to 5 days
venners2003particulate,humidity,parameter,robust Poisson regression,smoothing spline,smoothing parameter,using cross-validation,NA
venners2003particulate,humidity,temporal,robust Poisson regression,NA,NA,testing fit of values on different days,same day and at lags up to 3 days previous
venners2003particulate,temperature,parameter,robust Poisson regression,smoothing spline,smoothing parameter,using cross-validation,NA
venners2003particulate,temperature,temporal,robust Poisson regression,NA,NA,testing fit of values on different days,same day and at lags up to 3 days previous
venners2003particulate,time,parameter,robust Poisson regression,smoothing spline,smoothing parameter,using cross-validation and analysis of residuals,cubic smoothing spline
zanobetti,humidity,temporal,generalized additive regression models,NA,NA,to control for weather variables,same day
zanobetti,temperature,temporal,generalized additive regression models,NA,NA,to control for weather variables,same day
zanobetti,time,parameter,generalized additive regression models,smooth function,smoothing parameter,to remove seasonal and long-term fluctuations while minimizing the sum of the autocorrelation of the residuals,NA
zanobetti,weather,temporal,generalized additive regression models,NA,NA,to control for weather variables,previous day or up to 3 previous days or the average of a few days
zanobetti2009effect,PM,temporal,Poisson regression,NA,NA,"to investigate association between PM2.5 concentrations and mortality , to test the hypothesis that coarse particles may affect mortality with a longer lag","average of day of death and day before death (mean of lags 0 and 1) , distributed lag model for 4 days (same day and up to 3 days earlier)"
zanobetti2009effect,city-specific_effect_estimates,spatial,Poisson regression,NA,NA,to combine city-specific results,incorporate random effects whether or not there was a significant heterogeneity
zanobetti2009effect,temperature,parameter,Poisson regression,natural spline,knots,to control for weather,3 
zanobetti2009effect,time,parameter,Poisson regression,natural spline,knots,to control for long-term trend and seasonality,1.5  for each season for each year
zanobetti2009fine,PM,parameter,Poisson regression,meta-regression,NA,to quantify to what extent the association between PM2.5 mass and admissions was modified by particle composition,regressing the community and season-specific Poisson estimates against the community and season-specific mean concentration ratios
zanobetti2009fine,PM,temporal,Poisson regression,NA,NA,NA,averaged over the day before and the day of admission
zanobetti2009fine,day_of_the_week,parameter,Poisson regression,indicator variables,NA,NA,indicator variables
zanobetti2009fine,humidity,parameter,Poisson regression,natural spline,knots,NA,3 
zanobetti2009fine,humidity,temporal,Poisson regression,NA,NA,NA,three-day averaged
zanobetti2009fine,temperature,parameter,Poisson regression,natural spline,knots,"to control for mean temperature, following findings that the association between PM2.5 mass and mortality was modified by seasonal average temperature","3  , include linear and quadratic term"
zanobetti2009fine,temperature,temporal,Poisson regression,NA,NA,NA,three-day averaged
zanobetti2009fine,time,parameter,Poisson regression,natural spline,knots,to control for season and long term trend,1.5  for each season and year (corresponding to 6 df per year)
