paper,id,model,variable,method,parameter,type,reason,decision,reference
mar2000associations,16,Poisson regression,PM,NA,NA,temporal,NA,0 to 4 lag days,NA
mar2000associations,17,Poisson regression,PM,NA,NA,temporal,NA,0 to 4 lag days,NA
mar2000associations,18,Poisson regression,PM,NA,NA,temporal,NA,0 to 4 lag days,NA
mar2000associations,19,Poisson regression,PM,NA,NA,temporal,NA,0 to 4 lag days,NA
mar2000associations,20,Poisson regression,S,NA,NA,temporal,NA,0 to 4 lag days,NA
mar2000associations,21,Poisson regression,Zn,NA,NA,temporal,NA,0 to 4 lag days,NA
mar2000associations,22,Poisson regression,Pb,NA,NA,temporal,NA,0 to 4 lag days,NA
mar2000associations,23,Poisson regression,soil,NA,NA,temporal,NA,0 to 4 lag days,NA
mar2000associations,24,Poisson regression,Ks,NA,NA,temporal,NA,0 to 4 lag days,NA
mar2000associations,25,Poisson regression,PM,NA,NA,temporal,NA,0 to 4 lag days,NA
mar2000associations,26,Poisson regression,OC,NA,NA,temporal,NA,0 to 4 lag days,NA
mar2000associations,27,Poisson regression,EC,NA,NA,temporal,NA,0 to 4 lag days,NA
mar2000associations,28,Poisson regression,TC,NA,NA,temporal,NA,0 to 4 lag days,NA
mate2010short,1,ARIMA,time,visual inspection of the simple autocorrelation function,NA,parameter,NA,ACF,box1994time
mate2010short,2,ARIMA,time,visual inspection of the partial autocorrelation function,NA,parameter,NA,PACF,box1994time
mate2010short,3,ARIMA,time,minimisation of Akaike's Information Criterion,NA,parameter,NA,AIC,akaike1974new
mate2010short,4,multivariate analysis,dependent_variables_and_the_independent_variable,NA,NA,temporal,NA,lag 0,NA
mate2010short,5,multivariate analysis,dependent_variables_and_the_independent_variable,NA,NA,temporal,NA,later lag,NA
moolgavkar2000air-2,1,generalized additive model,time,smoothing spline,smoothing parameter,parameter,NA,30 df,NA
moolgavkar2000air-2,2,generalized additive model,temperature,smoothing spline,smoothing parameter,parameter,NA,6 df,NA
moolgavkar2000air-2,3,generalized additive model,humidity,smoothing spline,smoothing parameter,parameter,NA,6 df,NA
moolgavkar2000air-2,4,generalized additive model,temperature,NA,NA,temporal,NA,lags from 0 to 5 days,NA
moolgavkar2000air-2,5,generalized additive model,humidity,NA,NA,temporal,NA,lags from 0 to 5 days,NA
moolgavkar2000air-2,6,generalized additive model,PM,NA,NA,temporal,NA,lags of between 0 and 5 days,NA
moolgavkar2000air,1,generalized additive model,time,smoothing spline,smoothing parameter,parameter,NA,30 df,NA
moolgavkar2000air,2,generalized additive model,temperature,NA,NA,temporal,NA,lag times from 0 to 5 days,NA
moolgavkar2000air,3,generalized additive model,humidity,NA,NA,temporal,NA,lag times from 0 to 5 days,NA
moolgavkar2000air,4,generalized additive model,temperature,smoothing spline,smoothing parameter,parameter,NA,6 df,NA
moolgavkar2000air,5,generalized additive model,humidity,smoothing spline,smoothing parameter,parameter,NA,6 df,NA
moolgavkar2000air,6,generalized additive model,PM,NA,NA,temporal,NA,lags of between 0 and 5 days,NA
moolgavkar2003air,1,generalized additive model,time,smoothing spline,smoothing parameter,parameter,NA,100 df,NA
moolgavkar2003air,2,generalized additive model,time,smoothing spline,smoothing parameter,parameter,NA,30 df,NA
moolgavkar2003air,3,generalized additive model,temperature,NA,NA,temporal,NA,various lag times from 0 to 5 days,NA
moolgavkar2003air,4,generalized additive model,humidity,NA,NA,temporal,NA,various lag times from 0 to 5 days,NA
moolgavkar2003air,5,generalized additive model,temperature,smoothing spline,smoothing parameter,parameter,NA,6 df,NA
moolgavkar2003air,6,generalized additive model,humidity,smoothing spline,smoothing parameter,parameter,NA,6 df,NA
moolgavkar2003air,7,generalized additive model,PM,NA,NA,temporal,NA,lags of between 0 and 5 days,NA
moolgavkar2003air,8,generalized additive model,PM,smoothing spline,smoothing parameter,parameter,NA,6 df,NA
moolgavkar2003air,9,generalized additive model,PM,NA,NA,temporal,NA,lags between 0 and 5 days,NA
neuberger2007extended,1,generalized additive models,mortality,NA,NA,temporal,From the time course of associations with hospital admissions in Vienna,up to 14 days,neuberger2004time
neuberger2007extended,2,overdispersed Poisson GAMs,mortality,NA,NA,temporal,for intermediate effects,7-day,schwartz2000a
neuberger2007extended,3,overdispersed Poisson GAMs,mortality,NA,NA,temporal,for prolonged effects,14-day,schwartz2000a
neuberger2007extended,4,Seasonal and meteorological factors,Seasonal_and_meteorological_factors,spline functions,NA,parameter,NA,minimizing sum of partial autocorrelation function,katsouyanni2001seasonal
neuberger2007extended,5,time trends,time,NA,degrees of freedom,parameter,based our selection on the minimum sum of 30 lags of partial autocorrelation function,3 to 8 degrees of freedom per year,NA
neuberger2007extended,6,weather indicators,weather_indicators,NA,NA,temporal,NA,"days 0, 1 and 2",NA
neuberger2007extended,7,weather indicators,weather_indicators,NA,smoothing parameters,parameter,the best combination of lag and smoothing parameter was selected on the basis of the Akaike information criterion,NA,akaike1973information
ostro,1,Poisson regression,time,smoothing spline,smoothing parameter,parameter,controls well for seasonal patterns in mortality and reduces and often eliminates autocorrelation,7 df per year of data,samet2000basic
ostro,2,regression model,time,smoothing spline,smoothing parameter,parameter,NA,3 knots,NA
ostro,3,regression model,time,NA,NA,temporal,NA,3-week period,NA
ostro,4,model,temperature,smoothing spline,smoothing parameter,parameter,NA,3 df,NA
ostro,5,model,humidity,smoothing spline,smoothing parameter,parameter,NA,3 df,NA
ostro,6,primary analysis,PM,NA,NA,temporal,previous studies have reported stronger associations of mortality with PM lagged 1 or 2 days or with cumulative exposures over several days,2-day average of lags 0 and 1 (lag 01),NA
ostro,7,primary analysis,PM,NA,NA,temporal,previous studies have reported stronger associations of mortality with PM lagged 1 or 2 days or with cumulative exposures over several days,single-day lag of 2 days (lag 2),NA
ostro2001effects,1,Poisson regression,hospital_admissions,NA,time,parameter,to control for the effects of seasonality and other factors that are time dependent,natural spline smoothers,ostro2006relation
ostro2001effects,2,Poisson regression,hospital_admissions,NA,meteorology,parameter,chosen based on their effectiveness in controlling for weather variables and promoting best model fits in both this analysis and previous studies,natural spline smoothers,"basu2008assessing, ostro2006relation"
ostro2001effects,3,Poisson regression,temperature,natural spline,knots,parameter,NA,3 df,NA
ostro2001effects,4,Poisson regression,humidity,natural spline,knots,parameter,NA,3 df,NA
ostro2001effects,5,Poisson regression,time,smoothing spline,smoothing parameter,parameter,this number controls well for seasonal and secular patterns,4 df per calendar year,ostro2006relation
ostro2001effects,6,Poisson regression,PM,NA,NA,temporal,NA,single-day lags of 0-3,NA
ostro2006effects,1,Poisson regression,time,natural spline,knots,parameter,has been found to control well for seasonal and secular patterns,4 df per year of data,"hei2003revised, ostro2006fine"
ostro2006effects,2,Poisson regression,temperature,smoothing spline,smoothing parameter,parameter,NA,3 df,NA
ostro2006effects,3,Poisson regression,humidity,smoothing spline,smoothing parameter,parameter,NA,3 df,NA
ostro2006effects,4,Poisson regression,temperature,NA,NA,temporal,NA,1-day lags,NA
ostro2006effects,5,Poisson regression,humidity,NA,NA,temporal,NA,1-day lags,NA
ostro2006effects,6,Poisson regression,PM,NA,NA,temporal,NA,single-day lags of 0-3 days,NA
ostro2006effects,7,Poisson regression,time,NA,NA,temporal,NA,warm (April-September) and cool (October-March) periods,NA
peel,1,Poisson generalized estimating equations,"outcome_data_(URI,_asthma,_all_respiratory_disease)",NA,correlation structure,parameter,to account for possible autocorrelation in the outcome data,stationary 4-dependent,NA
peel,2,Poisson generalized linear models,"outcomes_(pneumonia,_COPD)",NA,autocorrelation,parameter,NA,minimal,NA
peel,3,basic model,PM,NA,NA,temporal,NA,"3-day moving average of pollution levels lagged 0, 1, and 2 days relative to the visits",NA
peel,4,basic model,time,cubic spline,number of knots,parameter,NA,monthly knots,NA
peel,8,general additive models,NA,LOESS,smoothing window,parameter,NA,NA,NA
peel,9,general additive models,NA,smoothing spline,smoothing parameter,parameter,NA,10-14,NA
peng2008coarse,1,overdispersed Poisson model,temperature,natural spline,knots,parameter,to give the model sufficient flexibility to account for potential nonlinearity in the relationship between temperature and health outcomes,6 df,dominici2006fine
peng2008coarse,2,overdispersed Poisson model,temperature,NA,NA,temporal,NA,mean of the previous 3 days,NA
peng2008coarse,3,overdispersed Poisson model,humidity,natural spline,knots,parameter,NA,3 df,NA
peng2008coarse,4,overdispersed Poisson model,humidity,NA,NA,temporal,NA,mean of the previous 3 days,NA
peng2008coarse,5,overdispersed Poisson model,time,natural spline,knots,parameter,so that little information at time scales longer than 2 months would be retained in estimating the risks,8 df per calendar year,NA
peng2008coarse,6,overdispersed Poisson model,time,natural spline,knots,parameter,NA,1 df per year,NA
peng2008coarse,7,overdispersed Poisson model,PM,NA,NA,temporal,NA,"lags 0, 1, and 2 days",NA
peng2009emergency,1,log-linear Poisson regression model,time,natural spline,knots,parameter,NA,8 df per calendar year,NA
peng2009emergency,2,log-linear Poisson regression model,temperature,natural spline,knots,parameter,NA,6 df,NA
peng2009emergency,3,log-linear Poisson regression model,temperature,natural spline,knots,parameter,NA,6 df,NA
peng2009emergency,4,log-linear Poisson regression model,temperature,NA,NA,temporal,NA,3-day running mean,NA
peng2009emergency,5,log-linear Poisson regression model,humidity,natural spline,knots,parameter,NA,3 df,NA
peng2009emergency,6,log-linear Poisson regression model,humidity,natural spline,knots,parameter,NA,3 df,NA
peng2009emergency,7,log-linear Poisson regression model,humidity,NA,NA,temporal,NA,3-day running mean,NA
peng2009emergency,8,log-linear Poisson regression model,exposure_concentrations,NA,NA,temporal,our previous work with PM2.5 total mass and hospital admissions showed little evidence of a strong association with admissions at a lag of  3 days,"0-, 1-, and 2-day lag concentrations",dominici2006number
perez2008coarse,1,conditional logistic regression,temperature,NA,NA,temporal,NA,4-day average (day of exposure and 3 days before exposure),NA
perez2008coarse,2,conditional logistic regression,humidity,NA,NA,temporal,NA,4-day average (day of exposure and 3 days before exposure),NA
perez2008coarse,3,NA,PM,NA,NA,temporal,NA,same day (lag 0) to 4 days after exposure (lag 4),NA
perez2008coarse,4,NA,PM,NA,NA,temporal,NA,same day (lag 0) to 4 days after exposure (lag 4),NA
peters2000associations,1,Poisson regression models approximated by logistic regression analyses,time,NA,NA,parameter,NA,cubic function,NA
peters2000associations,2,Poisson regression models approximated by logistic regression analyses,seasonal_variation,NA,NA,parameter,NA,sine and cosine functions with periods between 1 year and 1/6 year,NA
peters2000associations,3,Poisson regression models approximated by logistic regression analyses,temperature,NA,NA,parameter,NA,quadratic function,NA
peters2000associations,4,generalized additive models,seasonal_function,natural spline,knots,parameter,NA,3 df for each study year,NA
peters2000associations,5,generalized additive models,temperature,natural spline,knots,parameter,NA,4 df,NA
peters2000associations,6,generalized additive models,humidity,natural spline,knots,parameter,NA,4 df,NA
peters2000associations,7,generalized additive models,temperature,NA,NA,temporal,NA,3-day mean of the current day and the previous 2 days,NA
schreuder2006ambient,1,Poisson regression with a generalized additive model,time,smoothing spline,smoothing parameter,parameter,NA,42 df,NA
schreuder2006ambient,2,Poisson regression with a generalized additive model,temperature,smoothing spline,smoothing parameter,parameter,NA,2 df,NA
schreuder2006ambient,3,Poisson regression with a generalized additive model,exposure,NA,NA,temporal,NA,1-day lag,NA
schwartz,1,generalized additive model,time,smoothing spline,smoothing parameter,parameter,to ensure removal of all long wavelength patterns from the data,5% of the data in each neighborhood,NA
schwartz,2,generalized additive model,temperature,smoothing spline,smoothing parameter,parameter,we expected the dose-response relationship between those variables and mortality to be much smoother,50% of the data,NA
schwartz,3,generalized additive model,humidity,smoothing spline,smoothing parameter,parameter,we expected the dose-response relationship between those variables and mortality to be much smoother,50% of the data,NA
schwartz,4,generalized additive model,PM,NA,NA,temporal,based on previous observations,mean of the non-missing particle concentrations on the same and on the previous day,NA
schwartz2002concentration,1,generalized additive model,time,LOESS,smoothing window,parameter,NA,0.05,schwartz2002overall
schwartz2002concentration,2,generalized additive model,temperature,LOESS,smoothing window,parameter,NA,0.80,schwartz2002overall
schwartz2002concentration,3,generalized additive model,humidity,LOESS,smoothing window,parameter,NA,0.80,schwartz2002overall
schwartz2002concentration,4,generalized additive model,PM,smoothing spline,smoothing parameter,parameter,NA,50% of the data,schwartz2002overall
schwartz2002concentration,5,generalized additive model,PM,smoothing spline,smoothing parameter,parameter,NA,4 to 5 df,schwartz2002overall
schwartz2002concentration,6,nonparametric smooth functions,concentration_response_relation,NA,degrees of freedom,parameter,NA,4 to 5 df,schwartz2002overall
sheppard1999effects,1,semiparametric Poisson regression models,time,smoothing spline,smoothing parameter,parameter,"conceptual simplicity, small Akaike Information Criteria (AIC), and little evidence of over- or underfitting in the residual autocorrelation function",64 df,NA
sheppard1999effects,2,semiparametric Poisson regression models,temperature,smoothing spline,smoothing parameter,parameter,"conceptual simplicity, small Akaike Information Criteria (AIC), and little evidence of over- or underfitting in the residual autocorrelation function",4 df,NA
sheppard1999effects,3,semiparametric Poisson regression models,time,NA,NA,temporal,NA,approximately a 46-day moving average filter,NA
silverman2010age,1,Poisson Generalized Linear Model,PM,NA,NA,temporal,NA,0-day and 1-day lagged,NA
silverman2010age,2,Poisson Generalized Linear Model,PM,NA,NA,temporal,NA,individual lag days 0 through 3,NA
silverman2010age,3,Poisson Generalized Linear Model,study_days,natural spline,knots,parameter,based on minimization of autocorrelation in the residuals,3 df per season per year,NA
silverman2010age,4,Poisson Generalized Linear Model,study_days,natural spline,knots,parameter,NA,"2, 4, and 5 degrees of freedom per season per year",NA
silverman2010age,5,Poisson Generalized Linear Model,temperature,natural spline,knots,parameter,NA,3 df,NA
silverman2010age,6,Poisson Generalized Linear Model,temperature,NA,NA,temporal,NA,same-day and the average of past 2-day and 3-day,NA
silverman2010age,7,Poisson Generalized Linear Model,estimates_over_age_groups,smoothed curve,degrees of freedom,parameter,NA,7 df,NA
simpson2005short,1,generalized additive model,time,LOESS,smoothing window,parameter,NA,single non-parametric smoother,NA
simpson2005short,2,generalized additive model,weather_variables,natural spline,knots,parameter,to avoid bias in the back-fitting algorithm,natural spline smoothers,NA
simpson2005short,3,generalized additive model,serial_correlation,autoregressive,NA,parameter,to remove remaining serial correlation,autoregressive terms,brumback1999regression
simpson2005short,4,generalized additive model,PM,NA,NA,parameter,NA,linear terms,NA
simpson2005short,5,generalized additive model,PM,NA,NA,temporal,NA,average of lags 0 and 1,NA
simpson2005short,6,NA,PM,NA,NA,temporal,NA,"lags 0, 1, 2, 3",NA
simpson2005short,7,generalized linear model,variables,natural spline,knots,parameter,for comparative purposes,same number of degrees of freedom as the GAM S+ model,NA
simpson2005short,8,generalized additive model,smoothing,penalised spline algorithm,NA,parameter,avoids the back-fitting problems associated with non-parametric smoothers as well as some of objectivity in using natural spline smoothers,thin plate regression splines,NA
simpson2005short,9,generalized additive model,variables,NA,degrees of freedom,parameter,NA,same number of degrees of freedom as in the GAM and GLM models,NA
slaughter2005association,1,log-linear generalized linear model,time,natural spline,knots,parameter,To control for the potentially confounding effects of longer-term trends including seasonality,8 df per year,mccullagh1989generalized
slaughter2005association,2,log-linear generalized linear model,time,natural spline,knots,parameter,To control for the potentially confounding effects of longer-term trends including seasonality,6 df per year,mccullagh1989generalized
slaughter2005association,3,log-linear generalized linear model,temperature,NA,NA,parameter,NA,2 df,NA
slaughter2005association,4,generalized additive model,PM,NA,NA,temporal,NA,0-3 days,NA
stolzel2008daily,1,Generalized Additive Models,NC0.01-0.1,smoothing spline,smoothing parameter,parameter,to account for temporal variations in the relationship between the different measurement devices,NA,hastie1990generalized
stolzel2008daily,2,Generalized Additive Models,MC0.01-2.5,smoothing spline,smoothing parameter,parameter,to account for temporal variations in the relationship between the different measurement devices,NA,hastie1990generalized
stolzel2008daily,3,Generalized Additive Models,PM,smoothing spline,smoothing parameter,parameter,to account for temporal variations in the relationship between the different measurement devices,NA,hastie1990generalized
stolzel2008daily,4,Poisson regression models,temperature,NA,NA,temporal,NA,lag 0,NA
stolzel2008daily,5,Poisson regression models,temperature,NA,NA,temporal,NA,lag 1,NA
stolzel2008daily,6,Poisson regression models,RH,NA,NA,temporal,NA,lag 2 days,NA
stolzel2008daily,7,Poisson regression models,time,smoothing spline,smoothing parameter,parameter,to minimize the autocorrelation of the residuals,8 df,NA
stolzel2008daily,8,Poisson regression models,time,smoothing spline,smoothing parameter,parameter,to minimize the autocorrelation of the residuals,7 df,NA
stolzel2008daily,9,Poisson regression models,influenza_epidemics,smoothing spline,smoothing parameter,parameter,NA,approximately 3 df,NA
stolzel2008daily,10,Poisson regression models,PM,NA,NA,temporal,NA,lags of up to 5 days,NA
ueda2009effects,1,generalized linear model,seasonality,NA,NA,temporal,to control for seasonality,indicator variables for every 2 months of the calendar year,NA
ueda2009effects,2,generalized linear model,day_of_the_week,NA,NA,temporal,NA,indicator variables,NA
ueda2009effects,3,generalized linear model,temperature,natural spline,knots,parameter,based on previous literature,6 df,NA
ueda2009effects,4,generalized linear model,humidity,natural spline,knots,parameter,based on previous literature,3 df,NA
ueda2009effects,5,generalized linear model,PM,NA,NA,temporal,NA,same day (lag 0),NA
ueda2009effects,6,generalized linear model,PM,NA,NA,temporal,NA,1-2 days (lag 1 and lag 2) prior to death,NA
ueda2009effects,7,generalized linear model,PM,NA,NA,temporal,NA,2-day moving average (average of same day and 1 day prior to death) (lag m01),NA
ueda2009effects,8,generalized linear model,PM,NA,NA,temporal,NA,"3-day moving average (average of same day, 1 day and 2 days prior to death) (lag m02)",NA
ueda2009estimating,1,generalized additive model,time,smoothing spline,smoothing parameter,parameter,to eliminate the effects of long-term trends and seasonality,7 df per year,NA
ueda2009estimating,2,generalized additive model,temperature,smoothing spline,smoothing parameter,parameter,because nonlinear effects of meteorological covariates were assumed,6 df,ueda2009effects
ueda2009estimating,3,generalized additive model,humidity,smoothing spline,smoothing parameter,parameter,because nonlinear effects of meteorological covariates were assumed,3 df,ueda2009effects
ueda2009estimating,4,generalized additive model,temperature,NA,NA,temporal,NA,lag 1-3 days was not adjusted,ueda2009effects
ueda2009estimating,5,generalized additive model,temperature,natural spline,knots,parameter,NA,6 df,ueda2009effects
ueda2009estimating,6,generalized additive model,humidity,natural spline,knots,parameter,NA,3 df,ueda2009effects
ueda2009estimating,7,generalized linear model,time,natural spline,knots,parameter,NA,7 df,ueda2009effects
ueda2009estimating,8,generalized linear model,temperature,natural spline,knots,parameter,NA,6 df,ueda2009effects
ueda2009estimating,9,generalized linear model,humidity,natural spline,knots,parameter,NA,3 df,ueda2009effects
venners2003particulate,1,robust Poisson regression,time,NA,NA,spatial,to model long-term and seasonal trends,NA,hastie1990statistical
venners2003particulate,2,robust Poisson regression,temperature,NA,NA,spatial,NA,up to 3 days previous,NA
venners2003particulate,3,robust Poisson regression,humidity,NA,NA,spatial,NA,up to 3 days previous,NA
venners2003particulate,4,robust Poisson regression,SO2,NA,NA,temporal,NA,up to 5 days,NA
venners2003particulate,5,robust Poisson regression,PM,NA,NA,temporal,NA,up to 5 days,NA
zanobetti,1,generalized additive regression model,weather,LOESS,smoothing window,parameter,NA,non-parametric smooth functions,NA
zanobetti,2,generalized additive regression model,weather,NA,NA,temporal,NA,previous day or up to 3 previous days or the average of a few days,NA
zanobetti,3,generalized additive regression model,time,smoothing spline,smoothing parameter,parameter,to remove seasonal and long-term fluctuations,minimized the sum of the autocorrelation of the residuals while removing seasonal patterns,NA
zanobetti2009effect,1,Poisson regression models,time,natural spline,knots,parameter,NA,1.5 df for each season for each year,NA
zanobetti2009effect,2,Poisson regression models,temperature,natural spline,knots,parameter,NA,3 df,NA
zanobetti2009fine,1,Poisson regression,time,natural spline,knots,parameter,NA,1.5 df for each season and year (corresponding to 6 df per year),NA
zanobetti2009fine,2,Poisson regression,temperature,natural spline,knots,parameter,NA,3 df,NA
zanobetti2009fine,3,Poisson regression,humidity,natural spline,knots,parameter,NA,3 df,NA
zanobetti2009fine,4,Poisson regression,PM,NA,NA,temporal,NA,averaged over the day before and the day of admission,NA
